n,density,beam_width,avg_objective,std_objective,avg time (s),num_instances,avg gap (%),std gap,success_rate (%),max_gap (%),instances_with_opt
10,0.25,1,831.9333333333333,346.0977639659381,0.0005208333333333,30,0.0,0.0,100.0,0.0,30
10,0.25,2,831.9333333333333,346.0977639659381,0.0182291666666666,30,0.0,0.0,100.0,0.0,30
10,0.25,3,831.9333333333333,346.0977639659381,0.0052083333333333,30,0.0,0.0,100.0,0.0,30
10,0.25,5,831.9333333333333,346.0977639659381,0.0057291666666666,30,0.0,0.0,100.0,0.0,30
10,0.25,10,831.9333333333333,346.0977639659381,0.0041666666666666,30,0.0,0.0,100.0,0.0,30
10,0.25,20,831.9333333333333,346.0977639659381,0.0046875,30,0.0,0.0,100.0,0.0,30
10,0.5,1,1428.7,746.7568167304088,0.0010416666666666,30,0.0,0.0,100.0,0.0,30
10,0.5,2,1428.7,746.7568167304088,0.0041666666666666,30,0.0,0.0,100.0,0.0,30
10,0.5,3,1428.7,746.7568167304088,0.0036458333333333,30,0.0,0.0,100.0,0.0,30
10,0.5,5,1428.7,746.7568167304088,0.0046875,30,0.0,0.0,100.0,0.0,30
10,0.5,10,1428.7,746.7568167304088,0.0057291666666666,30,0.0,0.0,100.0,0.0,30
10,0.5,20,1428.7,746.7568167304088,0.0052083333333333,30,0.0,0.0,100.0,0.0,30
10,0.75,1,2212.6666666666665,923.4402465178182,0.0036458333333333,30,0.0,0.0,100.0,0.0,30
10,0.75,2,2212.6666666666665,923.4402465178182,0.0036458333333333,30,0.0,0.0,100.0,0.0,30
10,0.75,3,2212.6666666666665,923.4402465178182,0.0057291666666666,30,0.0,0.0,100.0,0.0,30
10,0.75,5,2212.6666666666665,923.4402465178182,0.0052083333333333,30,0.0,0.0,100.0,0.0,30
10,0.75,10,2212.6666666666665,923.4402465178182,0.0057291666666666,30,0.0,0.0,100.0,0.0,30
10,0.75,20,2212.6666666666665,923.4402465178182,0.0052083333333333,30,0.0,0.0,100.0,0.0,30
10,1.0,1,2645.233333333333,1378.7774459845054,0.0020833333333333,30,0.0,0.0,100.0,0.0,30
10,1.0,2,2645.233333333333,1378.7774459845054,0.0036458333333333,30,0.0,0.0,100.0,0.0,30
10,1.0,3,2645.233333333333,1378.7774459845054,0.0046875,30,0.0,0.0,100.0,0.0,30
10,1.0,5,2645.233333333333,1378.7774459845054,0.0046875,30,0.0,0.0,100.0,0.0,30
10,1.0,10,2645.233333333333,1378.7774459845054,0.0046875,30,0.0,0.0,100.0,0.0,30
10,1.0,20,2645.233333333333,1378.7774459845054,0.0052083333333333,30,0.0,0.0,100.0,0.0,30
25,0.25,1,3872.7,2070.462478932344,0.0291666666666666,30,0.1127335888404344,0.4603625741530844,93.33333333333331,2.405247813411078,30
25,0.25,2,3872.7,2070.462478932344,0.0864583333333333,30,0.1127335888404344,0.4603625741530844,93.33333333333331,2.405247813411078,30
25,0.25,3,3872.7,2070.462478932344,0.1302083333333333,30,0.1127335888404344,0.4603625741530844,93.33333333333331,2.405247813411078,30
25,0.25,5,3873.8,2069.124410630416,0.2484375,30,0.0325586617267317,0.1753337592981931,96.66666666666669,0.9767598518019536,30
25,0.25,10,3874.766666666667,2068.694655788739,0.5734375,30,0.0,0.0,100.0,0.0,30
25,0.25,20,3874.766666666667,2068.694655788739,1.3640625,30,0.0,0.0,100.0,0.0,30
25,0.5,1,9276.066666666668,4336.9393964971305,0.0229166666666666,30,0.1070009171507184,0.5762175733711636,96.66666666666669,3.210027514521553,30
25,0.5,2,9279.566666666668,4332.04664243383,0.1083333333333333,30,0.0,0.0,100.0,0.0,30
25,0.5,3,9279.566666666668,4332.04664243383,0.1489583333333333,30,0.0,0.0,100.0,0.0,30
25,0.5,5,9279.566666666668,4332.04664243383,0.2432291666666666,30,0.0,0.0,100.0,0.0,30
25,0.5,10,9279.566666666668,4332.04664243383,0.584375,30,0.0,0.0,100.0,0.0,30
25,0.5,20,9279.566666666668,4332.04664243383,1.5317708333333333,30,0.0,0.0,100.0,0.0,30
25,0.75,1,13293.1,6518.508348541099,0.0401041666666666,30,0.0,0.0,100.0,0.0,30
25,0.75,2,13293.1,6518.508348541099,0.1286458333333333,30,0.0,0.0,100.0,0.0,30
25,0.75,3,13293.1,6518.508348541099,0.1567708333333333,30,0.0,0.0,100.0,0.0,30
25,0.75,5,13293.1,6518.508348541099,0.24375,30,0.0,0.0,100.0,0.0,30
25,0.75,10,13293.1,6518.508348541099,0.5114583333333333,30,0.0,0.0,100.0,0.0,30
25,0.75,20,13293.1,6518.508348541099,1.3453125,30,0.0,0.0,100.0,0.0,30
25,1.0,1,15505.066666666668,7900.001898452655,0.0463541666666666,30,0.0248912316229715,0.0932932799060062,93.33333333333331,0.3944427400622343,30
25,1.0,2,15508.066666666668,7902.760441488503,0.11875,30,0.0117431402875637,0.0632387458018315,96.66666666666669,0.3522942086269118,30
25,1.0,3,15505.066666666668,7900.001898452655,0.1536458333333333,30,0.0248912316229715,0.0932932799060062,93.33333333333331,0.3944427400622343,30
25,1.0,5,15509.433333333332,7902.087478142864,0.2244791666666666,30,0.0,0.0,100.0,0.0,30
25,1.0,10,15509.433333333332,7902.087478142864,0.49375,30,0.0,0.0,100.0,0.0,30
25,1.0,20,15509.433333333332,7902.087478142864,1.1442708333333331,30,0.0,0.0,100.0,0.0,30
50,0.25,1,14420.666666666666,8165.89639224555,0.1625,30,0.0684378561151093,0.2845861418201275,90.0,1.5536723163841808,30
50,0.25,2,14420.666666666666,8165.89639224555,0.5838541666666667,30,0.0684378561151093,0.2845861418201275,90.0,1.5536723163841808,30
50,0.25,3,14424.333333333334,8162.574076573856,0.8557291666666667,30,0.0166487789023033,0.0702322922176179,93.33333333333331,0.3753518923991242,30
50,0.25,5,14425.066666666668,8162.869674868568,1.6296875,30,0.0125117297466374,0.06737772670797,96.66666666666669,0.3753518923991242,30
50,0.25,10,14426.666666666666,8162.543926715221,3.616666666666666,30,0.0,0.0,100.0,0.0,30
50,0.25,20,14426.666666666666,8162.543926715221,9.696875,30,0.0,0.0,100.0,0.0,30
50,0.5,1,35891.13333333333,16254.857687746418,0.2989583333333333,30,0.0469863277488927,0.2530291186098246,96.66666666666669,1.4095898324667822,30
50,0.5,2,35891.13333333333,16254.857687746418,1.0333333333333334,30,0.0469863277488927,0.2530291186098246,96.66666666666669,1.4095898324667822,30
50,0.5,3,35891.13333333333,16254.857687746418,1.3182291666666666,30,0.0469863277488927,0.2530291186098246,96.66666666666669,1.4095898324667822,30
50,0.5,5,35893.8,16250.375214950169,1.7557291666666666,30,0.0161756210283073,0.0871083850951855,96.66666666666669,0.4852686308492201,30
50,0.5,10,35895.2,16248.02650252229,4.872916666666667,30,0.0,0.0,100.0,0.0,30
50,0.5,20,35895.2,16248.02650252229,8.558333333333334,30,0.0,0.0,100.0,0.0,30
50,0.75,1,49218.2,24653.177899816485,0.2484375,30,0.023410229931141,0.0811407005948727,90.0,0.4102431230297534,30
50,0.75,2,49218.2,24653.177899816485,0.6270833333333333,30,0.023410229931141,0.0811407005948727,90.0,0.4102431230297534,30
50,0.75,3,49218.2,24653.177899816485,0.8619791666666666,30,0.023410229931141,0.0811407005948727,90.0,0.4102431230297534,30
50,0.75,5,49223.4,24647.632280606587,1.4229166666666666,30,0.0,0.0,100.0,0.0,30
50,0.75,10,49223.4,24647.632280606587,3.0182291666666665,30,0.0,0.0,100.0,0.0,30
50,0.75,20,49223.4,24647.632280606587,7.279166666666667,30,0.0,0.0,100.0,0.0,30
50,1.0,1,73535.43333333333,37605.02182925691,0.2744791666666666,30,0.0,0.0,100.0,0.0,30
50,1.0,2,73535.43333333333,37605.02182925691,0.7744791666666667,30,0.0,0.0,100.0,0.0,30
50,1.0,3,73535.43333333333,37605.02182925691,1.0010416666666666,30,0.0,0.0,100.0,0.0,30
50,1.0,5,73535.43333333333,37605.02182925691,1.6078125,30,0.0,0.0,100.0,0.0,30
50,1.0,10,73535.43333333333,37605.02182925691,3.983854166666666,30,0.0,0.0,100.0,0.0,30
50,1.0,20,73535.43333333333,37605.02182925691,11.752604166666666,30,0.0,0.0,100.0,0.0,30
100,0.25,1,74146.8,37147.46761884763,1.7729166666666667,30,,,,,0
100,0.25,2,74146.8,37147.46761884763,5.966666666666667,30,,,,,0
100,0.25,3,74146.8,37147.46761884763,8.497916666666667,30,,,,,0
100,0.25,5,74157.8,10.1703125,,30
100,0.25,10,74162.43333333333,21.548958333333335,,30
100,0.25,20,74162.43333333333,49.69479166666667,,30
100,0.5,1,132704.23333333334,1.2088541666666666,,30
100,0.5,2,132704.23333333334,4.086979166666667,,30
100,0.5,3,132704.23333333334,5.664583333333334,,30
100,0.5,5,132707.1,9.325520833333334,,30
100,0.5,10,132707.5,19.949479166666666,,30
100,0.5,20,132707.5,45.69114583333333,,30
100,0.75,1,203838.2,1.2796875,,30
100,0.75,2,203838.2,4.423958333333333,,30
100,0.75,3,203838.2,6.790625,,30
100,0.75,5,203843.0,9.73125,,30
100,0.75,10,203843.0,20.159375,,30
100,0.75,20,203843.0,45.771875,,30
100,1.0,1,281163.9,1.3572916666666666,,30
100,1.0,2,281163.9,4.3265625,,30
100,1.0,3,281163.9,6.014583333333333,,30
100,1.0,5,281166.36666666664,9.9578125,,30
100,1.0,10,281166.36666666664,21.350520833333334,,30
100,1.0,20,281166.36666666664,48.7625,,30
150,0.25,1,157332.43333333332,3.9088541666666665,,30
150,0.25,2,157332.43333333332,13.155208333333333,,30
150,0.25,3,157332.43333333332,18.125,,30
150,0.25,5,157342.16666666666,28.6265625,,30
150,0.25,10,157344.86666666667,60.584375,,30
150,0.25,20,157345.3,142.14791666666667,,30
150,0.5,1,275229.6,3.384375,,30
150,0.5,2,275229.6,11.204166666666667,,30
150,0.5,3,275229.6,15.557291666666666,,30
150,0.5,5,275241.63333333336,26.022395833333334,,30
150,0.5,10,275242.0333333333,57.41614583333333,,30
150,0.5,20,275242.0333333333,127.83333333333333,,30
150,0.75,1,459860.43333333335,3.6901041666666665,,30
150,0.75,2,459860.43333333335,12.06875,,30
150,0.75,3,459860.43333333335,16.630208333333332,,30
150,0.75,5,459862.5,27.996354166666666,,30
150,0.75,10,459862.5,59.1765625,,30
150,0.75,20,459862.5,135.934375,,30
150,1.0,1,582167.6,3.652083333333333,,30
150,1.0,2,582167.6,11.591145833333334,,30
150,1.0,3,582167.6,15.853645833333333,,30
150,1.0,5,582181.5,26.736458333333335,,30
150,1.0,10,582181.5,57.453125,,30
150,1.0,20,582182.2666666667,131.21666666666667,,30
